title,artist,url,source,key,detected_key,key_confidence,capo,tempo,difficulty,rating,genre,chord_content,chords_used,harmonic_map
Sempurna,Andra And The Backbone,https://www.chordtela.com/2014/12/andra-and-backbone-sempurna.html,chordtela,,E major,1.0,,,,,,"Intro : E..E..

E

kau begitu sempurna

    C#m

dimataku kau begitu indah

        A       

kau membuat diriku 

     B           E

akan slalu memujamu...

E

disetiap langkahku

      C#m

kukan slalu memikirkan dirimu

      A

tak bisa kubayangkan 

  B                C#m

hidupku tanpa cintamu...

*)

    A                    B

janganlah kau tinggalkan diriku

       C#m

takkan mampu menghadapi semua

       A             B

hanya bersamamu ku akan bisa..

Reff:

       E      B    A

  kau adalah darahku..

       E      B      A

  kau adalah jantungku..

       C#m     G#m       A

  kau adalah hidupku lengkapi diriku

     C#m      G#m     A   F#m...

  oh sayangku kau begitu....

        E            C#m

  sempurna.... sempurna....

E

kau genggam tanganku....

     C#m

saat diriku lemah dan terjatuh

      A

kau bisikkan kata 

    B              C#m

dan hapus semua sesalku..

*)

    A                    B

janganlah kau tinggalkan diriku

       C#m

takkan mampu menghadapi semua

       A             B

hanya bersamamu ku akan bisa..

Reff:

       E      B    A

  kau adalah darahku..

       E      B      A

  kau adalah jantungku..

       C#m     G#m       A

  kau adalah hidupku lengkapi diriku

     C#m      G#m     A   F#m...

  oh sayangku kau begitu....

        E            C#m

  sempurna.... sempurna....

Musik : A..B..C#m..

*)

    A                    B

janganlah kau tinggalkan diriku

       C#m

takkan mampu menghadapi semua

       A             B

hanya bersamamu ku akan bisa..

Reff End:

       E      B    A

  kau adalah darahku..

       E      B      A

  kau adalah jantungku..

       C#m     G#m       A

  kau adalah hidupku lengkapi diriku

     C#m      G#m     A

  oh sayangku kau begitu...

       E      B    A

  kau adalah darahku..

       E      B      A

  kau adalah jantungku..

       C#m     G#m       A

  kau adalah hidupku lengkapi diriku

     C#m      G#m     A

  oh sayangku kau begitu....

  C#m      G#m     A   F#m...

  sayangku kau begitu....

        E            A

  sempurna.... sempurna....

Outro : E..E","E, C#m, A, B, G#m, F#m","{'E': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'C#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'A': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'G#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F#m': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Penjaga Hati,Nadhif Basalamah,https://www.chordtela.com/2023/10/nadhif-basalamah-penjaga-hati.html,chordtela,,D major,1.0,,,,,,"--------------

Intro : D..Dsus4..D

Em              A
 tak sadar ku temukan..
    D          A/C#         Bm
temukan wanita rupawan yang sadarkan
       Em                      A
dia seorang tiada lain tiada bukan..
        D  Dsus4 D
hanya dia..

Em          A
 dia buatku nyaman..
D   A/C#        Bm
 dalam hangat pelukan..
        Em                        A
dia perasa yang mengerti yang kurasa..
        D  Dsus4 D
hanya dia..

Reff :
         G
 kan ku arungi tujuh laut samudra..
          D
 kan ku daki pegunungan himalaya..
        G          A           D   -A/C#
 apapun kan ku lakukan tuk dirimu sayang
    Bm  -A    G  A
 oh penjaga hati..

Int. G..

Em              A
 kau dan aku sempurna..
    D        A/C#         Bm
semoga ada cara tuk terus bersama
              Em                A
selalu ku tunggu.. tak mau berlalu..
         D   Dsus4 D
kau dan aku..

Reff :
-D/F#    G
 kan ku arungi tujuh laut samudra..
          D
 kan ku daki pegunungan himalaya..
        G          A           D   -A/C#
 apapun kan ku lakukan tuk dirimu sayang
    Bm  -A    Em   A
 oh penjaga hatiku..

Musik :    G  D  Dsus4 D
        houwo..
        G A D -A/C# Bm -A Em A..

Reff :
         G
 kan ku arungi tujuh laut samudra..
          D
 kan ku daki pegunungan himalaya..
        G          A           D   -A/C#
 apapun kan ku lakukan tuk dirimu sayang
    Bm  -A    Em        A
 oh penjaga hatiku.. houwo..

-D/F#     G
 karna bersamamu semua terasa indah..
          D
 gundah gulana hatiku pun hancur sirna..
-D/F#     G           A
 janji ku takkan ku lepas wahai
     D  -A/C# Bm -A     G
 kau bidadariku dari surga..
       A   Bm  A G
 tuk s'lamanya..
       A   Bm  A/C#-D-A G
 tuk s'lamanya..
       A
 tuk s'lamanya..

Outro : D..Dsus4..
        D..Dsus4..G","D, Dsus4, Em, A, A/C#, Bm, G, D/F#","{'D': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Dsus4': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'A': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'A/C#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'D/F#': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Resah Jadi Luka,Daun Jatuh,https://www.chordtela.com/2020/07/daun-jatuh-resah-jadi-luka.html,chordtela,,D major,1.0,,,,,,"Intro : D G D G..

D

ku menemukanmu

        G

saat ku terjebak..

D

di situasi

            G

yang membuatku resah..

D

kau merangkulku..

            G

disaat yang lain menindasku

 D

ingin rasanya aku

          G

selalu bersamamu..

*)

     A

tapi mengapa tiba-tiba seakan

    D  A/C# Bm

kau pergi..

    F#m                 G

melepas rangkulanmu dan berhenti

        Em            A

melindungiku tanpa sebab :(..

Reff :

     D        A/C#

 mungkin alam semesta

 Bm       -A  G -A -D -A

 tak menerimanya..

 D         A/C#     Bm        -A  G -A D

 dan waktu tak memberi kesempatannya..

-A    Bm               A

 tapi setidaknya kau telah merubahku

   G          A         D  G

 dari resah.. menjadi luka..

D

ku menemukanmu

        G

saat ku terjatuh..

D

ke dalam ruang

             G

yang penuh kepahitan..

D

kau melindungiku

             G

disaat yang lain menyerangku..

 D

ingin rasanya aku

          G

melihatmu di setiap langkahku..

*)

     A

tapi mengapa tiba-tiba seakan

    D  A/C# Bm

kau pergi..

    F#m                 G

melepas rangkulanmu dan berhenti

        Em            A

melindungiku tanpa sebab :(..

Reff :

     D        A/C#

 mungkin alam semesta

 Bm       -A  G -A -D -A

 tak menerimanya..

 D         A/C#     Bm        -A  G -A D

 dan waktu tak memberi kesempatannya..

-A    Bm               A

 tapi setidaknya kau telah merubahku

   G          A         G A Bm A

 dari resah.. menjadi luka..

    G   A   Bm  A

 ha a..aa a..

#)

  G              A

namun aku akan tetap disini

      Bm              A

menunggu alam semesta menerima

     G                 A

dan angin membawakan jawabannya

       Bm                  A

karena detak jantung dan nadiku

         G             (D)

akan selalu.. merindukanmu..

Outro : D G D G","D, G, A, A/C#, Bm, F#m, Em","{'D': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'A': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'A/C#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Kenangan Terindah,Samsons,https://www.chordtela.com/2014/10/samsons-kenangan-terindah.html,chordtela,,G major,0.73,,,,,,"Intro : G Em C G

G

Aku yang lemah tanpamu

Em

Aku yang rentan karena

C                                

Cinta yang t'lah hilang darimu

G

Yang mampu menyanjungku

G

Selama mata terbuka

Em

Sampai jantung tak berdetak

C

Selama itu pun aku

G

Mampu untuk mengenalmu

Am                Em

Darimu ku temukan hidupku

Am                  Em          C   A

Bagiku kaulah cinta sejati, yeh ehu uu....

        D        C       Am        D7

(Dirimu bagiku engkaulah cinta sejati)

Reff

     G            D

  Bila yang tertulis untukku

   Em             D

  Adalah yang terbaik untukmu

   C             Bm

  Kan kujadikan kau kenangan

   Am               D

  Yang terindah dalam hidupku

     G            D

  Namun takkan mudah bagiku

   Em             D

  Meninggalkan jejak hidupku

   C                  Bm

  Yang t'lah terukir abadi

(1)  Am             D         Em

(2)  Am             D         G

  Sebagai kenangan yang terindah

Musik : Em D G Em D C

        C#m D D#m

Kembali ke : Reff (2)

          Reff (2) (background vocal)

Outro : G","G, Em, C, Am, A, D, D7, Bm, C#m, D#m","{'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'A': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'D7': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'C#m': {'roman': '?', 'function': '?', 'diatonic': False}, 'D#m': {'roman': '?', 'function': '?', 'diatonic': False}}"
Tolong,Budi Doremi,https://www.chordtela.com/2018/02/budi-doremi-tolong.html,chordtela,,A major,0.86,,,,,,"--------------

Intro : A Asus4 A D -E

A                            Bm
..Ku rasa ku sedang jatuh cinta
E                       A
..Karena rasanya ini berbeda
A                         Bm
..Oh apakah ini memang cinta
E                            A  A7
..Selalu berbeda saat menatapnya

Catatan:
Disini Chord Variasi Asus4
tambahan di bait lagu
di hilangkan.

  D         Dm
Mengapa aku begini
  C#m
Hilang berani dekat denganmu
Bm
Ingin ku memilikimu
Dm             E
Tapi aku tak tahu..

Bagaimana caranya?

Reff :
   A                     Bm
 Tolong katakan pada dirinya
   E                      A
 Lagu ini kutuliskan untuknya
   F#m             F#           Bm
 Namanya selalu ku sebut dalam doa
    D
 Sampai aku mampu
  Dm         E     A
 ucap maukah denganku?

Intro : 
A Asus4 A D -E

A                            Bm
..Ku rasa ku sedang jatuh cinta
E                       A
..Karena rasanya ini berbeda
A                         Bm
..Oh apakah ini memang cinta
E                            A    A7
..Selalu berbeda saat menatapnya huuu..

  D        Dm
Disini aku berdiri
  C#m                F#
Menanti waktu yang tepat hingga 
   Bm
akhirnya ku mampu
  D         E
Katakan padamu..oo..

Reff :
   A                     Bm
 Tolong katakan pada dirinya
   E                      A
 Lagu ini kutuliskan untuknya
   F#m             F#          Bm
 Namanya selalu ku sebut dalam doa
     D              
 mungkinkah dia tahu 
    Dm           E     
 cinta yang ku mau..

   A                     Bm
 Tolong katakan pada dirinya
   E                      A
 Lagu ini kutuliskan untuknya
   F#m             F#           Bm
 Namanya selalu ku sebut dalam doa
    D
 Sampai aku mampu
  Dm         E     A  F#
 ucap maukah denganku hoooo
   D          Dm   E  A Asus4 A -Asus4 A
 Maukah kau dengan a..ku?..","A, Asus4, D, E, Bm, A7, Dm, C#m, F#m, F#","{'A': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Asus4': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'E': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'A7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'C#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F#': {'roman': '[vi]', 'function': 'T', 'diatonic': False}}"
Melukis Senja,Budi Doremi,https://www.chordtela.com/2020/06/budi-doremi-melukis-senja.html,chordtela,,F major,0.9,,,,,,"Intro : F..

    F
aku mengerti
                               Bb
perjalanan hidup yang kini kau lalui
   C  
ku berharap
                              F
meski berat kau tak merasa sendiri
          D
kau telah berjuang
                            Gm
menaklukan hari-harimu yang tak mudah
          Bb          C          F
biar ku menemanimu membasuh lelahmu..

Reff :
              Bb
 izinkan ku lukis senja
 C                Am
  mengukir namamu di sana
 D                  Gm
  mendengar kamu bercerita
 C              F
  menangis tertawa..

           Bb
 biar ku lukis malam
 C             Am
  bawa kamu bintang-bintang
 D                  Gm
  tuk temanimu yang terluka
 C               F
  hingga kau bahagia..

    F
aku disini
                             Bb
walau letih coba lagi jangan berhenti
   C  
ku berharap
                              F
meski berat kau tak merasa sendiri
          D
kau telah berjuang
                            Gm
menaklukan hari-harimu yang tak mudah
          Bb          C          F
biar ku menemanimu membasuh lelahmu..

Reff :
              Bb
 izinkan ku lukis senja
 C                Am
  mengukir namamu di sana
 D                  Gm
  mendengar kamu bercerita
 C              F
  menangis tertawa..

           Bb
 biar ku lukis malam
 C             Am
  bawa kamu bintang-bintang
 D                  Gm
  tuk temanimu yang terluka
 C               Dm       F
  hingga kau bahagia.. ha a..
       Bb
  ha a ha..
  Dm    F       Bb  C
  ha.. aa..ha a ha..

Reff :
              Bb
 izinkan ku lukis senja
 C                Am
  mengukir namamu di sana
 D                  Gm
  mendengar kamu bercerita
 C              F
  menangis tertawa..

           Bb
 biar ku lukis malam
 C             Am
  bawa kamu bintang-bintang
 D                  Gm
  tuk temanimu yang terluka
 C               Dm  -C
  hingga kau bahagia..
 Bb                 Gm
  tuk temanimu yang terluka
 C               F..
  hingga kau bahagia..

Outro : F","F, Bb, C, D, Gm, Am, Dm","{'F': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bb': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'C': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'D': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Gm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'Am': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'vi', 'function': 'T', 'diatonic': True}}"
Waktu Yang Salah (Feat.Tantri),Fiersa Besari,https://www.chordtela.com/2019/01/fiersa-besari-waktu-yang-salah.html,chordtela,,G major,0.8,,,,,,"Intro: G..Am..Bm..Bm/D..

   G            Am      Bm 
Jangan tanyakan perasaanku
  Cmaj7          Cm/D#    Bm 
Jika kau pun tak bisa beralih
  E                        Am-Bm-Cm 
Dari masa lalu yang menghantu i mu
    Am                     D
Karena sungguh ini tidak adil..

  G            Am       Bm
Bukan maksudku menyakitimu
  Cmaj7         Cm/D#     Bm
Namun tak mudah tuk melupakan
    E                          Am-Bm-Cm
Cerita panjang yang pernah aku la lu i
  Am            D       G
Tolong yakinkan saja raguku..

Reff:
        C                     D
  Pergi saja engkau pergi dariku
         Bm                  Em 
  Biar kubunuh perasaan untukmu
        Am                 D
  Meski berat melangkah, hatiku 
                 G       Dm G7
  Hanya tak siap terluka..

       C                     D
  Beri kisah kita sedikit waktu 
          Bm                   Em
  Semesta mengirim dirimu untukku
       Am               D
  Kita adalah rasa yang tepat
                  G
  Di waktu yang salah..

Int. G..Am..Bm..Bm/D..

  G            Am      Bm 
Hidup memang sebuah pilihan
  Cmaj7     Cm/D#       Bm
Tapi hati bukan tuk dipilih ouwo
  E                     Am-Bm-Cm
Bila hanya setengah dirimu hadir
    Am        D         G
Dan setengah lagi untuk dia..

Reff:
        C                     D
  Pergi saja engkau pergi dariku
         Bm                  Em
  Biar kubunuh perasaan untukmu
        Am                 D
  Meski berat melangkah, hatiku 
                 G      G7
  Hanya tak siap terluka..

       C                     D
  Beri kisah kita sedikit waktu 
          Bm                   Em
  Semesta mengirim dirimu untukku
       Am               Dsus4
  Kita adalah rasa yang tepat
                  G
  Di waktu yang salah..

Int: G..Am..Bm..

  Em           D   C
Bukan ini yang kumau
  Em          D     C
Lalu tuk apa kau datang..
   Em          D   C
Rindu tak bisa diatur
  Em            D     C
Kita tak pernah mengerti..
    D               C
Kau dan aku menyakitkan

Reff:
        C                     D
  Pergi saja engkau pergi dariku
         Bm                  Em
  Biar kubunuh perasaan untukmu
        Am                 D
  Meski berat melangkah, hatiku 
                 G        G7
  Hanya tak siap terluka..ouho

       C                     D
  Beri kisah kita sedikit waktu 
          Bm                   Em
  Semesta mengirim dirimu untukku
       Am               D
  Kita adalah rasa yang tepat
                  C  Bm Am
  Di waktu yang salah..
     D             G
  Di waktu yang salah..","G, Am, Bm, Bm/D, Cmaj7, Cm/D#, E, Cm, D, C, Em, Dm, G7, Dsus4","{'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Bm/D': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Cmaj7': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Cm/D#': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'E': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Cm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': '[V]', 'function': 'D', 'diatonic': False}, 'G7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Dsus4': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
Celengan Rindu,Fiersa Besari,https://www.chordtela.com/2016/10/fiersa-besari-celengan-rindu.html,chordtela,,A major,0.817,,,,,,"Intro : A..A..

A                 E/G#
Aku kesal dengan jarak
F#m                    E A
Yang sering memisahkan kita
D                 A/C#
Hingga aku hanya bisa
Bm                      E
Berbincang denganmu di whatsapp

A                  E/G#
Aku kesal dengan waktu
F#m                   E     A
Yang tak mau berhenti bergerak
D          A/C#
Barang sejenak
        Bm              E
Agar ku bisa menikmati tawamu

  F#m            D
Ingin ku berdiri di sebelahmu
   F#m            D
Menggenggam erat jari-jarimu
   F#m              D
Mendengarkan lagu Sheila On 7
     Bm
Seperti waktu itu
       E
Saat kau disisiku..

Reff:
             A           E/G#
  Dan tunggulah..aku disana
        F#m              G-A
  Memecahkan celengan rinduku
        D
  Berboncengan denganmu
        A/C#
  Mengeliligi kota
       Bm
  Menikmati surya perlahan
   E
  Menghilang

      A              E/G#
  Hingga kejamnya waktu
             F#m           G -A
  Menarik paksa kau dari pelukku
       D
  Lalu kita kembali
       A/C#
  Menabung rasa rindu
         Bm
  Saling mengirim doa
          E          A
  Sampai nanti sayangku..

Int. A..A-E/G#-F#m-E

A                 E/G#
Jangan matikan hapemu
F#m               E     A
Kau tau aku benci khawatir
D                  A/C#
Saat kau tak mengabari
Bm                E
Aku tak suka bertanya-tanya..

  F#m          D
Ingin ku bakar dia yang sering
  F#m                  D
Mention mention-nan denganmu di twitter
  F#m              D
Namun kau slalu meyakinkanku
       Bm
Tuk tumbuhkan percaya
       E
Bukan rasa curiga..

Reff:
             A           E/G#
  Dan tunggulah..aku disana
        F#m              G-A
  Memecahkan celengan rinduku
        D
  Berboncengan denganmu
        A/C#
  Mengeliligi kota
       Bm
  Menikmati surya perlahan
   E
  Menghilang

      A              E/G#
  Hingga kejamnya waktu
             F#m           G -A
  Menarik paksa kau dari pelukku
       D
  Lalu kita kembali
       A/C#
  Menabung rasa rindu
         Bm
  Saling mengirim doa
          E          A
  Sampai nanti sayangku..

Outro : A E F#m F# Bm..Dm F
        C#m F# Bm..A

        E        A
hingga kita bertemu..","A, E/G#, F#m, E, D, A/C#, Bm, G, F#, Dm, F, C#m","{'A': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'E/G#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'E': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'D': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'A/C#': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'F#': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Dm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'F': {'roman': 'bVI', 'function': 'SD', 'diatonic': False}, 'C#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}}"
Mesin Waktu (OST. Aku Dan Mesin Waktu),Budi Doremi,https://www.chordtela.com/2021/04/budi-doremi-mesin-waktu-ost-aku-dan-mesin-waktu.html,chordtela,,A major,0.809,,,,,,"--------------

Intro : A..Asus4..A..Asus4..

  A            E/G#        F#m
kalau harus ku mengingatmu lagi..
 E             D
aku takkan sanggup..
  C#m            Bm        E
dengan yang terjadi pada kita..

  A        E/G#           F#m
jika melupakanmu hal yang mudah..
 E           D
ini takkan berat..
   C#m         Bm       E
takkan membuat hatiku lelah..

  D                   C#m
kalah.. ku akui aku kalah..
   Bm       C#m
cinta ini pahit..
          D         E
dan tak harus memiliki…..

Reff :
            A
 jika aku bisa..
              Bm
 ku akan kembali..
             E
 ku akan merubah..
                   A
 takdir cinta yang kupilih..
    A    -E/G#    F#m
 meskipun tak mungkin..
   E           B/D#
 walaupun ku mau..
         D
 membawa kamu..
   Dm    E      A.. Dm E
 lewat mesin waktu..

  A        E/G#             F#m
jika melupakanmu hal yang mudah..
 E           D
ini takkan berat..
   C#m         Bm       E
takkan membuat hatiku lelah..

   D
panjang.. perjalanan
     C#m        F#
yang harus ku lalui..
Bm-C#m-D-B/D#-E
me-re-la-kan-mu.. uuu..

Reff :
            A
 jika aku bisa..
              Bm
 ku akan kembali..
             E
 ku akan merubah..
                   A
 takdir cinta yang kupilih..
    A    -E/G#    F#m
 meskipun tak mungkin..
   E           B/D#
 walaupun ku mau..
         D
 membawa kamu..
   Dm    E     (F#m)
 lewat mesin waktu..

Musik : F#m.. A..-C#m D..Bm E
          ho uwo.. wo uwoo..
        A-E/G#-F#m-E-B/D# E..

Reff :
            A
 jika aku bisa..
              Bm
 ku akan kembali..
             E
 ku akan merubah..
                   A
 takdir cinta yang kupilih..
    A    -E/G#    F#m
 meskipun tak mungkin..
   E           B/D#
 walaupun ku mau..
         D      E
 membawa kamu.. woo.. uwo uwo..

            A
 jika aku bisa..
    E/G#      Bm
 ku akan kembali..
             E
 ku akan merubah..
                   A
 takdir cinta yang kupilih..
    A    -E/G#    F#m
 meskipun tak mungkin..
   E           B/D#
 walaupun ku mau..
         D
 membawa kamu..
   Dm    E     (A)
 lewat mesin waktu..

Outro : A..Asus4..A..Asus4..
        A..","A, Asus4, E/G#, F#m, E, D, C#m, Bm, B/D#, Dm, F#","{'A': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Asus4': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'E/G#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'E': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'D': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'C#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Bm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'B/D#': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'Dm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'F#': {'roman': '[vi]', 'function': 'T', 'diatonic': False}}"
bergema sampai selamanya,Nadhif Basalamah,https://www.chordtela.com/2025/02/nadhif-basalamah-bergema-sampai-selamanya.html,chordtela,,F minor,0.878,,,,,,"--------------

Change re-chords 
C/E or Edim

 G#                     C#
aku ingin jadi teman nyamanmu..
   G#                        C#
tempat kau hilangkan keluh kesahmu..
           A#m                     G#/C
kita berbincang tak karuan tanpa beban..
            C#
dan juga khayalan tentang masa depan..

G#                     C#
 ku tak ingin cepat berlalu..
G#                    C#
 waktu yang kupunya denganmu..
           A#m
kita berdansa dan tertawa
          G#/C
gandeng tangan..
          C#                  D# -G#/C
semoga bergema.. sampai selamanya..

Reff :
   C#                 G#/C
 dunia pasti ada akhirnya..
    D#               C/E     Fm D#
 bintang bintang pun ada umurnya..
   C#          D#
 maka tenang saja..
         G#  -D#/G Fm-D#  C#
 kita di sini berdua  haaaa..
    D#                  (C#)
 nikmati sementara yang ada..

Int. C# G#/C C# G#/C

   C#              G#/C
bersandar padaku taruh di bahuku
  C#            G#/C
relakan semua bebas semaumu
       C#                     G#/C Fm           
percayalah ini sayang terlewatkan..
        A#m
kusampaikan dalam nyanyian
        D#
bergema sampai selamanya..

Musik : C# G#/C C# G#/C
        C# G#/C -Fm A#m D#

Reff :
   C#                 G#/C
 dunia pasti ada akhirnya..
    D#               C/E     Fm D#
 bintang bintang pun ada umurnya..
   C#          D#
 maka tenang saja..
         G#  -D#/G Fm-D#  C#
 kita di sini berdua  haaaa..
    D#                  (C#)
 nikmati sementara yang ada..

   C#                 G#/C
(dunia pasti ada akhirnya..)
    D#
 bintang bintang
 C/E     Fm-D#/G-G#-G#/C
 ada umurnya..
   C#          D#
 maka tenang saja..
         G#  -D#/G Fm-D#  C#
 kita di sini berdua  haaaa..
    D#                   C#
 nikmati sementara yang ada..
   G#/C               C#
 semoga bersama selamanya..","C/E, Edim, G#, C#, A#m, G#/C, D#, Fm, D#/G","{'C/E': {'roman': 'V', 'function': 'D', 'diatonic': False}, 'Edim': {'roman': 'vii°', 'function': 'D', 'diatonic': False}, 'G#': {'roman': 'III', 'function': 'T', 'diatonic': True}, 'C#': {'roman': 'VI', 'function': 'SD', 'diatonic': True}, 'A#m': {'roman': 'iv', 'function': 'SD', 'diatonic': True}, 'G#/C': {'roman': 'III', 'function': 'T', 'diatonic': True}, 'D#': {'roman': 'VII', 'function': 'D', 'diatonic': True}, 'Fm': {'roman': 'i', 'function': 'T', 'diatonic': True}, 'D#/G': {'roman': 'VII', 'function': 'D', 'diatonic': True}}"
