title,artist,url,source,key,detected_key,key_confidence,capo,tempo,difficulty,rating,genre,chord_content,chords_used,harmonic_map
Asal Kau Bahagia,Armada,https://www.chordtela.com/2017/02/armada-asal-kau-bahagia.html,chordtela,,E major,0.878,,,,,,"Intro : A B G# C#m A B E.. 
 
E 
yank... 
  A         B   C#m 
kemarinku melihatmu 
       A    B     E 
kau bertemu dengannya.. 
 
E 
ku... 
  A            B    C#m 
rasa sekarang kau masih 
    A      B         E 
memikirkan tentang dia.. 
 
*) 
A          B 
apa kurangnya aku 
  G#m        C#m 
didalam hidupmu 
           D        B 
hingga kau curangi aku.. 
 
Reff: 
  E          F#m 
  katakanlah sekarang 
     G#           C#m 
  bahwa kau tak bahagia 
  A         E/G# 
  aku punya ragamu 
    F#m        B 
  tapi tidak hatimu.. 
 
   E            F#m 
  kau tak perlu berbohong 
      G#          C#m 
  kau masih menginginkannya 
  A           E/G# 
  ku rela kau dengannya 
   F#m          B   E 
  asalkan kau bahagia.. 
 
 E 
yank... 
   A         B         C#m 
ku rasa sekarang kau masih 
    A       B        E 
memikirkan tentang dia.. 
 
*) 
A          B 
apa kurangnya aku 
  G#m        C#m 
didalam hidupmu 
           D        B 
hingga kau curangi aku.. 
 
Reff: 
  E          F#m 
  katakanlah sekarang 
     G#           C#m 
  bahwa kau tak bahagia 
  A         E/G# 
  aku punya ragamu 
    F#m        B 
  tapi tidak hatimu.. 
 
   E            F#m 
  kau tak perlu berbohong 
      G#          C#m 
  kau masih menginginkannya 
  A           E/G# 
  ku rela kau dengannya 
   F#m          B  (E) 
  asalkan kau bahagia.. 
 
Musik : E C#m F#m B -A 
        G#m C#m F#m B 
        E C#m F#m B -A 
        G#m C#m D.. B.. 
                oo..uuu.. 
 
Reff: 
  E          F#m 
  katakanlah sekarang 
     G#           C#m 
  bahwa kau tak bahagia 
  A         E/G# 
  aku punya ragamu 
    F#m        B 
  tapi tidak hatimu.. 
 
   E            F#m 
  kau tak perlu berbohong 
      G#          C#m 
  kau masih menginginkannya 
  A           E/G# 
  ku rela kau dengannya 
   F#m          B   F#m  E/G# 
  asalkan kau bahagia..oouuuu 
    A         B     (E) 
  asalkan kau baha..gia... 
 
Outro : E C#m F#m B -A 
        G#m C#m F#m B E","A, B, G#, C#m, E, G#m, D, F#m, E/G#","{'A': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'G#': {'roman': '[iii]', 'function': 'T', 'diatonic': False}, 'C#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'E': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'F#m': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'E/G#': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Mau Dibawa Kemana,Armada,https://www.chordtela.com/2014/12/armada-mau-dibawa-kemana.html,chordtela,,C major,0.9,,,,,,"Intro : C..

C

Semuanya telah kuberi 

C

dengan kesungguhan hati

     F             C

Untukmu hanya untukmu

C

Tak perlu kau tanya lagi 

C

siapa pemilik hati ini

      F             C G

Kau tahu pasti dirimu

   Dm

tolong lihat aku

          Fm        G

dan jawab pertanyaanku

Reff:

         F        Fm          C

   Mau dibawa kemana hubungan kita

              Dm

   jika kau terus menunda-nunda dan

              Fm              G

   dan tak pernah nyatakan cinta

         F        Fm          C

   Mau dibawa kemana hubungan kita

           Dm

   Ku tak akan terus jalani

          Fm           G                 C

   tanpa ada ikatan pasti antara kau dan aku

Musik: C Dm F

C

Tak perlu kau tanya lagi 

C

siapa pemilik hati ini

      F             C G

Kau tahu pasti dirimu

   Dm

tolong lihat aku

          Fm        G

dan jawab pertanyaanku

..Kembali ke : Reff

Musik : F C Dm G

        F C Dm Am Em G

   Dm

tolong lihat aku

          Fm        G

dan jawab pertanyaanku

..Kembali ke : Reff","C, F, G, Dm, Fm, Am, Em","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'Fm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}}"
Awas Jatuh Cinta,Armada,https://www.chordtela.com/2020/01/armada-awas-jatuh-cinta.html,chordtela,,C major,0.86,,,,,,"Armada - Awas Jatuh Cinta  


  
Catatan:  
Saat Intro chord Em = Em7 
 
Intro : Am Em F 
        Am Em F 
        Dm  G 
 
C         F           C 
aku punya niat yang baik 
Dm         Fm         C 
coba ku ungkapkan padamu 
C          F           C 
berharap kamu kan menjadi 
Dm        Fm          C 
rencana besar di hidupku.. 
 
     F               G 
tapi kau.. bilang pergi.. sana 
  Am         G         F 
kamu tak mau melihat diri.. ini 
  G 
sela..manya.. 
 
Reff : 
  C            -G/B    Am 
 awas.. nanti jatuh cinta 
              Dm 
 cinta kepada di..riku 
          F            G 
 jangan-jangan ku jodohmu.. 
 
   C           -G/B   Am 
 kamu.. terlalu membenci 
              Dm 
 membenci diriku.. ini 
         F           G 
 awas nanti jatuh cinta 
     C 
 padaku.. 
 
Int. Dm G 
 
C         F           C 
aku punya niat yang baik 
Dm          Fm         C 
telah ku ungkapkan padamu 
      F              G 
kau tetap.. bilang pergi.. sana 
  Am         G         F 
kamu tak mau melihat diri.. ini 
  G 
sela..manya.. 
 
Reff : 
  C            -G/B    Am 
 awas.. nanti jatuh cinta 
              Dm 
 cinta kepada di..riku 
          F            G 
 jangan-jangan ku jodohmu.. 
 
   C           -G/B   Am 
 kamu.. terlalu membenci 
              Dm 
 membenci diriku.. ini 
         F           G     (F) 
 awas nanti jatuh cinta padaku.. 
 
Musik : F E Am G 
        Dm  Em  F  G 
 
Reff : 
  C            -G/B    Am 
 awas.. nanti jatuh cinta 
              Dm 
 cinta kepada di..riku 
          F            G 
 jangan-jangan ku jodohmu.. 
 
   C           -G/B   Am 
 kamu.. terlalu membenci 
              Dm 
 membenci diriku.. ini 
         F           G 
 awas nanti jatuh cinta 
    (C) 
 padaku.. 
 
   C            -G/B    Am 
 (awas.. nanti jatuh cinta..) 
  awas jatuh cinta 
               Dm 
 (cinta kepada di..riku) 
  cinta pada diriku 
          F            G 
 jangan-jangan ku jodohmu.. 
 
   C           -G/B   Am 
 kamu.. terlalu membenci 
              Dm 
 membenci diriku.. ini 
         F           G 
 awas nanti jatuh cinta 
         E           Am 
 awas nanti jatuh cinta 
-G       F           G    
 awas nanti jatuh cinta.. 
 
Outro: 
 F-Em-Dm-G   C 
         padaku..","Em, Em7, Am, F, Dm, G, C, Fm, G/B, E","{'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Em7': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Fm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'G/B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}}"
Armada,Mabuk Cinta,https://www.chordtela.com/2022/08/armada-mabuk-cinta.html,chordtela,,G major,0.956,,,,,,"Armada - Mabuk Cinta ✓ Chord


Intro : G Em Am D (4x)
Tab.  : G-Bm-Em D-Am Em-D-D D (4x)

G          Am       Em
 bayangkan bila harimu 
         D
penuh warna..
G       Am         Em
 itulah yang saat ini 
       D
kurasakan..

*)
C        D    G            Em
dia membuat tidurku tak nyenyak
C        D    Em
dia membuat makan pun tak enak
   C     D    Am
ku terpikat pada kehangatan
       F            D   D7-D7-D7-D7
yang selalu dia berikan..

Reff :
 G          Am         Em       D
 kurasa 'ku sedang dimabuk cinta..
 G           Am         Em       D -D7
 nikmatnya kini 'ku dimabuk cinta..
           (G)
 dimabuk cinta..

Intro : G Em Am D (2x)
Tab.  : G-Bm-Em D-Am Em-D-D D (2x)

G          Am       Em
 bayangkan bila harimu 
         D
penuh warna..
G       Am         Em
 itulah yang saat ini 
       D
kurasakan..

*)
C        D    G            Em
dia membuat tidurku tak nyenyak
C        D    Em
dia membuat makan pun tak enak
   C     D    Am
ku terpikat pada kehangatan
       F            D   D7-D7-D7-D7
yang selalu dia berikan..

Reff :
 G          Am         Em       D
 kurasa 'ku sedang dimabuk cinta..
 G           Am         Em       D
 nikmatnya kini 'ku dimabuk cinta..
 G          Bm         Am     D
 kurasa 'ku sedang dimabuk cinta..
 G          Bm         Am     D  -D7
 kurasa 'ku sedang dimabuk cinta..

            G  Am
 dimabuk cinta.. 
            Em D
 dimabuk cinta..
            G  Am
 dimabuk cinta.. 
            Em D
 dimabuk cinta..

Musik : G Am Em D
        G Am Em D

Reff :
 G           Am         Em       D
  kurasa 'ku sedang dimabuk cinta..
 G            Am         Em       D
  nikmatnya kini 'ku dimabuk cinta..
 G          Bm         Am     D
 kurasa 'ku sedang dimabuk cinta..
 G          Bm         Am     D  -D7
 kurasa 'ku sedang dimabuk cinta..

            G-Bm-Em D-Am Em-D-D D
 dimabuk cinta.. 
            G-Bm-Em D-Am Em-D-D D
 dimabuk cinta..
            G-Bm-Em D-Am Em-D-D D
 dimabuk cinta.. 
            G-Bm-Em D-Am Em-D-D D
 dimabuk cinta..
            G.. Gmaj7
 dimabuk cinta..","G, Em, Am, D, Bm, C, F, D7, Gmaj7","{'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'F': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'D7': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Gmaj7': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Apa Kabar Sayang,Armada,https://www.chordtela.com/2014/12/armada-apa-kabar-sayang.html,chordtela,,G major,0.8,,,,,,"Intro : C F C F ...

C           F

seharian aku tak tenang

Dm           G

seperti orang kebingungan

C            F

pikiranku tak karuan

Dm            G

khawatirkan kamu di sana

          

tak tahu apa gerangan

Dm                Em

mungkinkah di sana kau rasa bahagia

F                 G

atau malah sebaliknya

Reff 1:

               C             G

  telah lama kita tidak bertemu

                   Am                G

  tak pernah ku dengar berita tentangmu

              F     C

  apa kabar kamu sayang

              Dm    G

  apa kabar kamu sayang

Musik : C F C F

C         F

seharian aku tak tenang

Dm            G

khawatirkan kamu di sana

C           F

tak tahu apa gerangan

Dm                Em

mungkinkah di sana kau rasa bahagia

F                 G

atau malah sebaliknya

Reff 2:

              C             G

  telah lama kita tidak bertemu

                  Am              G

  tak pernah ku dengar berita tentangmu

             F    C

  apa kabar kamu sayang

             Dm   G

  apa kabar kamu sayang

            C            G

  aku kan terus mendoakanmu

                  Am                G

  walau tak ku dengar berita tentangmu

              F     C

  apa kabar kamu sayang

              Dm    G

  apa kabar kamu sayang

       C

  di sana

Musik : Am C Am C

Dm                 Em

mungkinkah di sana kau rasa bahagia

F                  G   A

atau malah sebaliknya oooo

Reff 3:

               D              A

  telah lama kita tidak bertemu

                   Bm                A

  tak pernah ku dengar berita tentangmu

              G     D

  apa kabar kamu sayang

              Em    A

  apa kabar kamu sayang

       D

  di sana

Int. D A Bm A

            G     D

apa kabar kamu sayang

            Em    A

apa kabar kamu sayang

     Bm A

di sana

            G     A

Apa kabar kamu sayang

     D

di sana ...","C, F, Dm, G, Em, Am, A, D, Bm","{'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'F': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'Dm': {'roman': '[V]', 'function': 'D', 'diatonic': False}, 'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'A': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}}"
Harusnya Aku,Armada,https://www.chordtela.com/2014/10/armada-harusnya-aku.html,chordtela,,E major,1.0,,,,,,"++++========

Intro : E..A..F#m B E..

        E..A..F#m B E..

            E

Ku tak bahagia..

                A

melihat kau bahagia dengannya

         F#m

Aku terluka

B                    E

..tak bisa dapatkan kau sepenuhnya

         E

Aku terluka..

                   A

melihat kau bermesraan dengannya

            F#m

Ku tak bahagia

B                E

..melihat kau bahagia..

Reff :

       A                B

  Harusnya aku yang disana

         G#m           C#m

  Dampingimu dan bukan dia

       F#m                 B

  Harusnya aku yang kau cinta

            E

  dan bukan dia..

        A              B

  Harusnya kau tahu bahwa

       G#m          C#m

  Cintaku lebih darinya

       F#m             B

  Harusnya yang kau pilih

          E

  bukan dia..

            E

Ku tak bahagia..

                A

melihat kau bahagia dengannya

            F#m

Ku tak bahagia

B                E

..melihat kau bahagia..

Reff :

       A                B

  Harusnya aku yang disana

         G#m           C#m

  Dampingimu dan bukan dia

       F#m                 B

  Harusnya aku yang kau cinta

            E

  dan bukan dia..

        A              B

  Harusnya kau tahu bahwa

       G#m          C#m

  Cintaku lebih darinya

       F#m             B

  Harusnya yang kau pilih

          E

  bukan dia..

Musik : C#m A E G#m

        C#m A B..

              hoo..uwo..ooo..

Reff :

       A                B

  Harusnya aku yang disana

         G#m           C#m

  Dampingimu dan bukan dia

       F#m                 B

  Harusnya aku yang kau cinta

            E

  dan bukan dia..

        A              B

  Harusnya kau tahu bahwa

       G#m          C#m

  Cintaku lebih darinya

       F#m             B

  Harusnya yang kau pilih

          E

  bukan dia..

Outro : E..","E, A, F#m, B, G#m, C#m","{'E': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'F#m': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'G#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'C#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}}"
Armada,Hargai Aku,https://www.chordtela.com/2014/12/hargai-aku-armada.html,chordtela,,C major,0.912,,,,,,"Intro : C A Dm G C 
 
C       A  Dm       G       C A 
seringkali kau merendahkan ku 
Dm      G      Em      Am 
melihat dengan sebelah matamu 
Dm    G            C 
aku bukan siapa-siapa 
 
C        A  Dm         G     C A 
selalu saja kau anggap ku lemah 
Dm     G     Em          Am 
merasa hebat dengan yang kau punya 
Dm         G          C  C7 
kau sombongkan itu semua 
 
Reff: 
            F     G         C 
   coba kau lihat dirimu dahulu 
   Am          Dm    G           C    C7 
   sebelum kau nilai kurangnya diriku 
         F      G         C 
   apa salahnya hargai diriku 
   Am           Dm    G      F   G 
   sebelum kau nilai siapa diriku 
 
C       A  Dm       G       C A 
seringkali kau merendahkan ku 
Dm      G      Em      Am 
melihat dengan sebelah matamu 
Dm    G            C 
aku bukan siapa-siapa 
 
Reff: 
            F     G         C 
   coba kau lihat dirimu dahulu 
   Am          Dm    G           C    C7 
   sebelum kau nilai kurangnya diriku 
         F      G         C 
   apa salahnya hargai diriku 
   Am           Dm    G      F   G 
   sebelum kau nilai siapa diriku 
 
Musik : F G C Am Dm G C C7 
        F F Dm G Em Am Dm G C C7 
 
Reff: 
            F     G         C 
   coba kau lihat dirimu dahulu 
   Am          Dm    G           C    C7 
   sebelum kau nilai kurangnya diriku 
         F      G         C 
   apa salahnya hargai diriku 
   Am           Dm    G      F   G 
   sebelum kau nilai siapa diriku 
 
Outro : C","C, A, Dm, G, Em, Am, C7, F","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}}"
Pergi Pagi Pulang Pagi,Armada,https://www.chordtela.com/2014/07/armada-pergi-pagi-pulang-pagi.html,chordtela,,C major,1.0,,,,,,"Intro :  C..Am..Dm..G (2x)

C            Am

Aku sayang padamu

Dm            G

Aku cinta padamu

  C             Am

Semua kan kulakukan

Dm              G

Demi kebahagiaanmu

(*)

F

Tak pernah ku keluhkan.

  Em

Walau rintangan menghadang

F

Panas hujan begini

  G              Em

Makanan sehari-hari

[Reff  I :]

    F       G    C           Am

Kurela…  Pergi Pagi Pulang Pagi

        Dm     G        C        C7

Hanya untuk mengais rezeki..ii..iii..

   F     G     Em       Am

Doakan saja … aku... pergi

       Dm        G         C Am Em C

S’moga pulang dompetku terisi

C                Am    Dm              G

Kamu tak perlu resah… Aku sedang berusaha..

  C           Am     Dm               G

Demi kebahagiaan … kamu yang aku sayangi….

Kembali ke : (*), Reff  I

Int : Am..Dm..G..C..(2x)

     F       G           C           Am

Kurela ditinggal pergi pagi pulang pagi

        Dm    G        C   Dm   C

Karna kamu mencari rezeki….iii…iii…

[Reff: II]

            F     G    Em     Am

Hoo..Kau doakan saja …aku …pergi

       Dm        G         C   C7

S’moga pulang dompetku terisi…

    

    F       G    C           Am

Kurela…  Pergi Pagi Pulang Pagi

        Dm     G         C

Hanya untuk mengais rezeki..

       F     G    Em     Am

Kau doakan saja… aku… pergi

       Dm        G         C  Dm    Am

S’moga pulang dompetku terisi…iii…..iii..

       Dm        G         C  Dm    Am

S’moga pulang dompetku terisi…iii…..iii..

        Dm            G

Dan semoga..aa..aaa..aaa…

    G               C Am Em C

kau nggak ngambek lagi","C, Am, Dm, G, F, Em, C7","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'C7': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Bebaskan Diriku,Armada,https://www.chordtela.com/2015/05/armada-bebaskan-diriku.html,chordtela,,A major,0.767,,,,,,"--------------

Intro : D A Bm E A..
        A..

A           D          A  D
 lama sudah ku pendam ini
A           B          E
 lama sudah ku makan hati menghadapimu 
D                      C#m
 ini semua tentang dirimu
F#          Bm           Dm   E
tentang caramu.. memperlakukanku..

A             D          A  D
 tak sadarkah kau semua ini
A             B             E
 bukan cuma hati yang kau sakiti
            D         E          C#m
juga hidupku, diriku ini pasanganmu
  F#          Bm
bukannya musuhmu.. 
                 E
tak perlu kau siksa aku..

Reff :
   A              E/G#
  aku berhenti sayang
     F#m            A7
  ku tak bisa lanjutkan
    D           C#m
  kisah ini, bersamamu
   Bm           E
  aku takkan mampu..

      A          E/G#
  menghadapi semua
    F#m              A7
  kebohongan yang biasa
          D  -C#m     Bm 
  kau lakukan.. aku hanya minta 
    E          A
  bebaskan diriku..

Int. A..

A             D          A  D
 tak sadarkah kau semua ini
A             B             E
 bukan cuma hati yang kau sakiti
            D         E          C#m
juga hidupku, diriku ini pasanganmu
  F#          Bm
bukannya musuhmu.. 
                 E
tak perlu kau siksa aku..

Reff :
   A              E/G#
  aku berhenti sayang
     F#m            A7
  ku tak bisa lanjutkan
    D           C#m
  kisah ini, bersamamu
   Bm           E
  aku takkan mampu..

      A          E/G#
  menghadapi semua
    F#m              A7
  kebohongan yang biasa
          D  -C#m     Bm 
  kau lakukan.. aku hanya minta 
    E         (F#m)
  bebaskan diriku..

Musik: F#m G#m A-G#m-F#m-E-D-C#m
       huwoo.. oo oo oo o..
       Bm C#m D..E..
 
(aku berhenti sayang, hh hah..)

Reff :
   A              E/G#
  aku berhenti sayang
     F#m            A7
  ku tak bisa lanjutkan
    D           C#m
  kisah ini, bersamamu
   Bm           E
  aku takkan mampu..

      A          E/G#
  menghadapi semua
    F#m              A7
  kebohongan yang biasa
          D  -C#m     Bm 
  kau lakukan.. aku hanya minta 
    E         D       C#m
  bebaskan diriku.. ooo.. oooo..
        Bm          E          A
  aku hanya minta bebaskan diriku..","D, A, Bm, E, B, C#m, F#, Dm, E/G#, F#m, A7, G#m","{'D': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'A': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'E': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'B': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'C#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F#': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Dm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'E/G#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'A7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G#m': {'roman': '[vii°]', 'function': 'D', 'diatonic': False}}"
Pemilik Hati,Armada,https://www.chordtela.com/2019/09/armada-pemilik-hati.html,chordtela,,C major,0.85,,,,,,"Intro: C F C F

C
 Lihat ku disini
F
 kau buatku menangis
               Dm
tak ingin menyerah
               G
tapi tak menyerah
            Dm
mencoba lupakan
              G
tapi ku bertahan….

Reff:    
            C
  Kau terindah
        G         Am
  kan selalu terindah
      G     Dm
  aku bisa apa
              G
  tuk memilikimu….
            C
  Kau terindah
        G         Am
  kan selalu terindah
        G      Dm
  harus bagaimana
                  G
  ku mengungkapkannya….
  Dm          G   C  F
  kau pemilik hatiku….

C
 Mungkin lewat mimpi
(mungkin lewat mimpi)
F
 ku bisa tuk memberi
              Dm
ku ingin bahagia
              G
tapi tak bahagia
              Dm
ku ingin dicinta
              G
tapi tak dicinta….aa….

Reff:    
            C
  Kau terindah
        G         Am
  kan selalu terindah
      G     Dm
  aku bisa apa
              G
  tuk memilikimu….
            C
  Kau terindah
        G         Am
  kan selalu terindah
        G      Dm
  harus bagaimana
                  G
  ku mengungkapkannya….
  Dm          G   C
  kau pemilik hatiku….o….wo….

Musik:
     F  G   Em   A  F…. G….
Wo oooo…. ooo….ooo….
      
Reff:    
            C
  Kau terindah
        G         Am
  kan selalu terindah
      G     Dm
  aku bisa apa
              G
  tuk memilikimu….
            C
  Kau terindah
        G         Am
  kan selalu terindah
        G      Dm
  harus bagaimana
                  G
  ku mengungkapkannya….
  Em       A
  ho….wo ooo oo o
  Dm          G   Am   G
  kau pemilik hatiku uuu u
  Dm        
  kau pemilik hati
  Em          A
  kau pemilik hati
  Dm          G    (C)  
  kau pemilik ha….tiku….

Outro : C F G C….

==============
Original chord dari ""B""
Gunakan Transpose diatas gan.","C, F, Dm, G, Am, Em, A, B","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'B': {'roman': 'vii°', 'function': 'D', 'diatonic': True}}"
