title,artist,url,source,key,detected_key,key_confidence,capo,tempo,difficulty,rating,genre,chord_content,chords_used,harmonic_map
Cinta Ini Membunuhku,D'Masiv,https://www.chordtela.com/2017/06/dmasiv-cinta-ini-membunuhku.html,chordtela,,C major,0.792,,,,,,"Intro : C..
        C..Am..-G F..

     C
Kau membuat….ku berantakan….
     Am
kau membuat….ku tak karuan….
     Dm
kau membuat….ku tak berdaya….
       G
kau menolakku acuhkan diriku….

    C
Bagaimana….caranya untuk….
   Am
meruntuhkan….kerasnya hatimu..
   Dm
kusadari….ku tak sempurna..
       G
ku tak seperti….yang kau inginkan….

Reff I:
          C                  G/B      
  Kau hancurkan aku dengan sikapmu
        Em            A       Dm
  tak sadarkah kau telah menyakitiku
  -Em   F            Em    Am
  lelah hati ini meyakinkanmu
     Dm          G
  cinta ini….membunuhku..

    C
Bagaimana….caranya untuk..
    Am
meruntuhkan….kerasnya hatimu..
   Dm
kusadari….ku tak sempurna..
       G
ku tak seperti….yang kau inginkan….

Reff II:
          C                  G/B       
  Kau hancurkan aku dengan sikapmu
        Em            A       Dm
  tak sadarkah kau telah menyakitiku
  -Em   F            Em    Am
  lelah hati ini meyakinkanmu
     Dm          G
  cinta ini….membunuhku..huwoo

Musik : F..G..-E/G#..Am..Em..Dm..
       -Em F..G…..

Reff III:
          C                  G/B       
  Kau hancurkan aku dengan sikapmu
        Em            A       Dm
  tak sadarkah kau telah menyakitiku
  -Em   F            Em    Am
  lelah hati ini meyakinkanmu
     Dm          G
  cinta ini….membunuhku...

     C          G/B
  Huwoooo...uu uuu...
        (E) -A     Dm
  huuu..uuu..haaa..aaa....
  -Em   F            Em    Am
  lelah hati ini meyakinkanmu
     Dm     G         Bb Am-Am/G C
  cinta ini…..membunuhku..","C, Am, G, F, Dm, G/B, Em, A, E/G#, E, Bb, Am/G","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G/B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'E/G#': {'roman': '[iii]', 'function': 'T', 'diatonic': False}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}, 'Bb': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'Am/G': {'roman': 'vi', 'function': 'T', 'diatonic': True}}"
MERINDUKANMU,D'Masiv,https://www.chordtela.com/2016/09/dmasiv-merindukanmu.html,chordtela,,C major,0.922,,,,,,"Intro : C Cmaj7 F F

C            Cmaj7

saat aku tertawa

    F

di atas semua

C           Cmaj7

saat aku menangisi

    F

kesedihanku..

*)

 Am    G

aku..ingin engkau

   F

selalu ada..

 Am    G

aku..ingin engkau

 F      G

aku..kenang...

[Reff:]

      F

  selama aku..

             Em

  masih bisa bernafas

                Dm      G

  masih sanggup berjalan

              C      C7

  kan slalu memujamu..

                 F

  meski ku tak tau lagi

             Em   A

  engkau ada di mana

        Dm      G

  dengarkan aku...ku merindukanmu

Int. C..

C            Cmaj7

saat aku mencoba

    F

merubah sgalanya

C           Cmaj7

saat aku meratapi ke

   F

kalahanku..

==Kembali ke : *), Reff

Musik : Am Dm G F G

[Reff End:]

      F

  selama aku..

             Em

  masih bisa bernafas

                Dm      G

  masih sanggup berjalan

              C      C7

  kan slalu memujamu..

                 F

  meski ku tak tau lagi

             Em   A

  engkau ada di mana

        Dm      G

  dengarkan aku...

             Am  Dm

  ku merindukanmu..

  Dm -Em-F      G

  dengarkan aku...

             C

  ku merindukanmu","C, Cmaj7, F, Am, G, Em, Dm, C7, A","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Cmaj7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'C7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}}"
Sudahi Perih Ini,D'Masiv,https://www.chordtela.com/2017/05/dmasiv-sudahi-perih-ini.html,chordtela,,D major,0.767,,,,,,"Intro : D…. A…. D…. A…. 

D          A

apa yang harus….

     Am         B            Em

ku lakukan lagi bila kau tak setia

       Gm                      D

karena aku hanya seorang manusia

                 A

yang tak kau anggap…..

*)

F#m G       D       A

a…. ku tlah coba untuk 

      F#m G       D          A

memahami….mu tapi kau tak peduli..

Reff I:

     D

  cukup sudah….

                -F#m-G

  kau sakiti aku la..gi

             -F#m Em

  serpihan perih  i….ni

    A           D   A

  akan ku bawa mati….

D        A

aku mencoba

   Am              B          Em

memberikan segala yang telah aku punya

      Gm                  D

namun semuanya hanya sia-sia

       A

per….cuma..

**)

F#m G       D       A

a…. ku tlah coba untuk 

      F#m G       D          A

memahami….mu tapi kau tak peduli..

Reff II:

     D

  cukup sudah….

                -F#m-G

  kau sakiti aku la..gi

             -F#m Em

  serpihan perih  i….ni

   A           (D)

  akan ku bawa mati

Musik : D....Em..F#m..G..A..

Reff III:

     D

  cukup sudah….

                -F#m-G

  kau sakiti aku la..gi

             -F#m Em

  serpihan perih  i….ni

    A           D    A

  akan ku bawa mati….ho..oo

     D

  sampai kapan….

                  -F#m-G

  bisa membuatmu mengerti..

                  F#m-Bm

  membuat aku bermak….na

     Em    F#m   

  di hatimu...

     G      A

  di matamu.. sayang

Outro : D..A..D..F#m-G..","D, A, Am, B, Em, Gm, F#m, G, Bm","{'D': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': '[V]', 'function': 'D', 'diatonic': False}, 'B': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Em': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'Gm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'F#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Bm': {'roman': 'vi', 'function': 'T', 'diatonic': True}}"
Natural,D'Masiv,https://www.chordtela.com/2016/11/dmasiv-natural.html,chordtela,,C major,0.792,,,,,,"Intro : C F C

*)

   C                 Gm7

ku suka kamu apa adanya

  F                      C

senatural mungkin aku lebih suka

   C                Gm7

ku suka kamu begini saja

 F               Fm

bukan karena ada apa-apanya

           C

dari yang kau punya

#)

      Dm         F

aku hidup di dunia

        C

ingin tenang baik-baik saja

       Dm        F            G

bersamamu aku bisa melewati itu..

Reff:

        C       G/B     Am  G

  bukan aku yang mencarimu

         F        C/E  Dm    G

  bukan kamu yang mencari..aku

        C         G/B   Am  G

  cinta yang mempertemukan

      F         C/E  Dm   G

  dua hati yang berbeda..ini

*)

   C                 Gm7

ku suka kamu apa adanya

  F                      C

senatural mungkin aku lebih suka

   C                Gm7

ku suka kamu begini saja

 F               Fm

bukan karena ada apa-apanya

           C

dari yang kau punya

#)

      Dm         F

aku hidup di dunia

        C

ingin tenang baik-baik saja

       Dm        F           G

bersamamu aku bisa melewati itu..

          G

melewati itu..

Reff:

        C       G/B     Am  G

  bukan aku yang mencarimu

         F        C/E  Dm    G

  bukan kamu yang mencari..aku

        C         G/B   Am  G

  cinta yang mempertemukan

      F         C/E  Dm   G

  dua hati yang berbeda..ini

Musik : C G/B Am C F Bb C G

Reff End:

        C         G/B   Am  G

  cinta yang mempertemukan

      F         C/E  Dm   G

  dua hati yang berbeda..ini

        C       G/B     Am  G

  bukan aku yang mencarimu

         F        C/E  Dm    G

  bukan kamu yang mencari..aku

        C          E    Am  G

  cinta yang mempertemukan

      F         C/E  Dm   G

  dua hati yang berbeda..ini

      Dm        C/E   F   G

  dua hati yang berbeda..ini..

Outro : C F C

Catatan :

Kunci F di intro dan Outro = Penyederhanaan dari Csus4","C, F, Gm7, Fm, Dm, G, G/B, Am, C/E, Bb, E, Csus4","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Gm7': {'roman': '[V]', 'function': 'D', 'diatonic': False}, 'Fm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'G/B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C/E': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bb': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}, 'Csus4': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Di Antara Kalian,D'Masiv,https://www.chordtela.com/2014/11/di-antara-kalian-dmasiv.html,chordtela,,G major,1.0,,,,,,"Em
 ku akui ku sangat
       Am
sangat menginginkanmu..
C
 tapi kini ku sadar
        G        D/F#
ku di antara kalian..
Am          Bm
aku.. tak mengerti..
    C                D
ini semua harus terjadi..

Em
 ku akui ku sangat
       Am
sangat mengharapkanmu..
C
 tapi kini ku sadar
   G          D/F#
ku tak akan bisa..
Am          Bm
aku.. tak mengerti..
    C                D
ini semua harus terjadi..

Reff :
 Am       D   G         C   Bm
  lupakan aku.. kembali padanya
 Am     Bm           Em      D
  aku bukan siapa-siapa untukmu..
 Am       D   G          C     Bm
  ku cintaimu.. tak berarti bahwa
 Am        Bm      C
  ku harus memilikimu selamanya..

Em  D     C
  a a.. a a..

Em
 ku akui ku sangat
       Am
sangat menginginkanmu..
C
 tapi kini ku sadar
        G        D/F#
ku di antara kalian..
Am          Bm
aku.. tak mengerti..
    C                D
ini semua harus terjadi..

Reff :
 Am       D   G         C   Bm
  lupakan aku.. kembali padanya
 Am     Bm           Em      D
  aku bukan siapa-siapa untukmu..
 Am       D   G          C     Bm
  ku cintaimu.. tak berarti bahwa
 Am        Bm      C
  ku harus memilikimu selamanya..

Musik : Em  Am  C  G D/F#
        Em  Am  C  G D/F#

     Am         Bm
oo.. aku tak mengerti..
    C                D
ini semua harus terjadi..

Reff :
 Am       D   G         C   Bm
  lupakan aku.. kembali padanya
 Am     Bm           Em      D
  aku bukan siapa-siapa untukmu..
 Am       D   G          C     Bm
  ku cintaimu.. tak berarti bahwa
 Am        Bm      C
  ku harus memilikimu selamanya..

 Am       D   G         C   Bm
  lupakan aku.. kembali padanya
 Am     Bm           Em      D
  aku bukan siapa-siapa untukmu..
 Am       D   G          C     Bm
  ku cintaimu.. tak berarti bahwa
 Am        Bm      C
  ku harus memilikimu selamanya..

Outro :
Em  D     C  Em   D    C
  a a.. a a..   a a.. aa..","Em, Am, C, G, D/F#, Bm, D","{'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'D/F#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
Diam Tanpa Kata,D'Masiv,https://www.chordtela.com/2016/12/dmasiv-diam-tanpa-kata.html,chordtela,,B major,0.912,,,,,,"Intro : B

        B-F#-C#m, B-F#-E

        B..E..B..E..

  E         B

kau diam tanpa kata

       C#m           G#m  F#

kau seolah jenuh padaku..

E            B

ku ingin kau bicara

          C#m         G#m F#

katakan saja apa salahku

   E

sungguh aku tak mengerti

C#m

apa yang tlah terjadi dan ku 

       E

tak ingin engkau pergi jauh

 C#m      F#

dari hidupku

Reff I:

             B          F#/Bb

  kau takkan pernah sadari

            G#m      F#

  betapa ku mencintaimu

            E

  kau yang selalu

      Em

  aku banggakan..

Int. B..E..

E            B

ku ingin kau bicara

          C#m        G#m F#

katakan saja apa..maumu

  E

lihat aku coba kau mengerti

C#m

ini semua bisa teratasi

   E

resah bila semua yang pernah

 C#m     F#

kita lakukan..

Reff II:

             B          F#/Bb

  kau takkan pernah sadari

            G#m      F#

  betapa ku mencintaimu

           E

  kau yang selalu

      Em

  aku banggakan..

             B           F#/Bb

  kau takkan pernah mengerti

            G#m       F#

  betapa ku menyayangimu

           E

  kau yang selalu

      Em

  aku inginkan..

Musik : C#m D#m E F#

C#m

kau yang kuinginkan

D#m

kau yang kubutuhkan

E

kau yang kuharapkan

    F#

haa aaaa...

Reff III:

             B          F#/Bb

  kau takkan pernah sadari

            G#m      F#

  betapa ku mencintaimu

           E

  kau yang selalu

      Em

  aku banggakan..

             B           F#/Bb

  kau takkan pernah mengerti

            G#m       F#

  betapa ku menyayangimu

           E

  kau yang selalu

      Em

  aku inginkan..

             B          F#/Bb

  kau takkan pernah sadari

            G#m      F#

  betapa ku mencintaimu

           E

  kau yang selalu

      Em

  aku banggakan..

Outro : B..E..B..E..

        B..","B, F#, C#m, E, G#m, F#/Bb, Em, D#m","{'B': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C#m': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'E': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G#m': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F#/Bb': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'D#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}}"
Apa Salahku,D'Masiv,https://www.chordtela.com/2016/09/dmasiv-apa-salahku.html,chordtela,,C major,0.922,,,,,,"Intro : C

        C G/B Am G

        F Em Dm G

       C    G/B

apa salahku...

           Am   G

kau buat begini...

            F         Em

kau tarik ulur hatiku hingga

  Dm           G

sakit yang kurasa...

*)

           C   G/B

apa memang ini...

            Am     G

yang kamu inginkan...

          F          Em

tak ada sedikitpun niat tuk

    Dm       G

serius kepadaku...

#)

     F          Em

katakan..yang sebenarnya

       Dm

jangan mau tak mau

     G

seperti ini..

Reff:

       F               Em

  akhirnya kini aku mengerti

      Dm           G

  apa yang ada di pikiranmu

      C      C7

  slama ini..

        F

  kau hanya ingin

                 Em  A

  permainkan perasaanku

          Dm             G

  tak ada hati tak ada cinta...

==Kembali ke : *), #), Reff

Musik : F Em Dm Dm-Em-F..G..

==Kembali ke : Reff [2x]

       C

apa salahku..","C, G/B, Am, G, F, Em, Dm, C7, A","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G/B': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'C7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}}"
D’Masiv,D'Masiv,https://www.chordtela.com/2016/06/dmasiv-cinta-sampai-disini.html,chordtela,,C major,1.0,,,,,,"Intro : Am….C….F….G

        Am….C….F….G

   Am       G     F

Mencoba tuk pa….hami

   Am      G     F

mencari celah hatimu….

     Am        G

bila harus menangis

     F

aku kan menangis….

      Am    G

namun air mata

     F

ini telah habis…..

Reff:

  Am               C

  Segalanya telah kuberikan

  G                    F            -G    

  tapi kau tak pernah ada pengertian

 Am                  C

  mungkin kita harus jalani 

  G                 F      G  (Am)

  cinta memang cukup sampai di sini

Musik: Am C F G [2x]

   Am       G     F

Mencoba tuk ra….suki 

   Am          G     F

menyentuh palung jiwamu….

     Am         G

bila harus mengiba

     F

aku kan mengiba….

      Am    G

namun rasa ini

      Am        G

telah sampai di ujung

     F        -G

lelahku ooo oo…..

==Kembali ke : Reff

Musik : Am C G F G

        Am C G F…..-G

               aaa..

==Kembali ke : Reff

Outro : Am C G F..","Am, C, F, G","{'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
D’Masiv,D'Masiv,https://www.chordtela.com/2015/01/dmasiv-rindu-setengah-mati.html,chordtela,,C major,0.682,,,,,,"Intro : G….

G
aku.. ingin engkau
      Em
ada disini..
                Am
menemaniku saat sepi..
                D
menemaniku saat gundah..

G
berat.. hidup ini
        Em
tanpa dirimu..
                   Am
ku hanya mencintai kamu..
                  D
ku hanya memiliki kamu..

Reff : 
  G
 aku.. rindu..
   E               Am
 setengah mati kepadamu..
     Cm                 G
 sungguh ku ingin kau tahu
  D     Em              Am D
 aku rindu.. setengah mati..

G
meski.. telah lama kita
       Em
tak bertemu..
                     Am
ku selalu memimpikan kamu..
                     D
ku tak bisa hidup tanpamu..

Reff : 
  G
 aku.. rindu..
   E               Am
 setengah mati kepadamu..
     Cm                 G
 sungguh ku ingin kau tahu
  D     Em              Am D
 aku rindu.. setengah mati..

       G             Am  C
aku rindu.. setengah ma..ti..

Reff End :
  G
 aku.. rindu..
   E               Am
 setengah mati kepadamu..
    Cm                  G
 sungguh ku ingin kau tahu
    D     Em              Am D
 ku tak bisa.. hidup tanpamu..

       G   
aku rindu..

Outro : G

[[[CHORD DARI C]]] 

Intro : C….

C
aku.. ingin engkau
      Am
ada disini..
                Dm
menemaniku saat sepi..
                G
menemaniku saat gundah..

C
berat.. hidup ini
        Am
tanpa dirimu..
                   Dm
ku hanya mencintai kamu..
                  G
ku hanya memiliki kamu..

Reff : 
  C
 aku.. rindu..
   A               Dm
 setengah mati kepadamu..
     Fm                 C
 sungguh ku ingin kau tahu
  G     Am              Dm G
 aku rindu.. setengah mati..

C
meski.. telah lama kita
       Am
tak bertemu..
                     Dm
ku selalu memimpikan kamu..
                     G
ku tak bisa hidup tanpamu..

Reff : 
  C
 aku.. rindu..
   A               Dm
 setengah mati kepadamu..
     Fm                 C
 sungguh ku ingin kau tahu
  G     Am              Dm G
 aku rindu.. setengah mati..

       C             Dm F
aku rindu.. setengah ma..ti..

Reff End :
  C
 aku.. rindu..
   A               Dm
 setengah mati kepadamu..
    Fm                  C
 sungguh ku ingin kau tahu
    G     Am              Dm G
 ku tak bisa.. hidup tanpamu..

       C   
aku rindu..

Outro : C","G, Em, Am, D, E, Cm, C, Dm, A, Fm, F","{'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'D': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}, 'Cm': {'roman': 'i', 'function': 'T', 'diatonic': False}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'Fm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}}"
D’Masiv,D'Masiv,https://www.chordtela.com/2015/02/dmasiv-semakin.html,chordtela,,C major,1.0,,,,,,"Intro : Am F C G

        Am F C G

  F              Em

kamu yang kini memikat hatiku

    F                   Am        G

sungguh ku ingin lebih dekat denganmu

  F                Em

beri aku waktu tuk buktikan kepadamu

    F                Am       G

sungguh ku ingin memiliki hatimu

Reff:

    C

  semakin ku memikirkanmu

    Am

  semakin ku menggilaimu

      F              Em

  kau bintang di hatiku

    Dm                  G

  terangi setiap langkahku

Int. Am

  F                Em

beri aku waktu tuk buktikan kepadamu

   F                 Am      G

sungguh ku ingin memiliki hatimu

Reff:

    C

  semakin ku memikirkanmu

    Am

  semakin ku menggilaimu

      F              Em

  kau bintang di hatiku

    Dm                  G

  terangi setiap langkahku

    C

  semakin ku memikirkanmu

    Am

  semakin ku menggilaimu

      F              Em

  kau bintang di hatiku

    Dm                  G

  terangi setiap langkahku

Musik : Am F C G (4x)

Reff:

    C

  semakin ku memikirkanmu

    Am

  semakin ku menggilaimu

      F              Em

  kau bintang di hatiku

    Dm                  G

  terangi setiap langkahku

    C

  semakin ku memikirkanmu

    Am

  semakin ku menggilaimu

      F              Em

  kau bintang di hatiku

    Dm                  G

  terangi setiap langkahku

  G

yee ooooo....

  Am

yee ooooo....

    F              Em

kau bintang di hatiku

  Dm                  G

terangi setiap langkahku

Outro : F Em F Am           G

               memiliki hatimu","Am, F, C, G, Em, Dm","{'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
