title,artist,url,source,key,detected_key,key_confidence,capo,tempo,difficulty,rating,genre,chord_content,chords_used,harmonic_map
Menunggumu,NOAH,https://www.chordtela.com/2014/10/peterpan-menunggumu-feat-chrisye.html,chordtela,,G major,1.0,,,,,,"Intro : Em..D..Em..D..

Em        

 di dalam sebuah cinta

D

 terdapat bahasa

Em

 yang mengalun indah

D

 mengisi jiwa..

Em

 merindukan kisah

D

 kita berdua

Em

 yang tak pernah bisa

D

 akan terlupa..

Reff I:

 C            G             C

  bila rindu ini masih milikmu

                 G             C

  kuhadirkan sebuah tanya untukmu

                 G              C

  harus berapa lama aku menunggumu

             (Em)

  aku menunggumu..

Musik : Em..D..Em..D..

Em   

 di dalam masa indah

D

 saat bersamamu

Em

 yang tak pernah bisa

D

 akan terlupa..

Em

 pandangan matanya

D

 menghancurkan jiwa

Em

 dengan segenap cinta

D

 aku bertanya..

Reff II:

 C            G             C

  bila rindu ini masih milikmu

                 G             C

  kuhadirkan sebuah tanya untukmu

                 G              C

  harus berapa lama aku menunggumu

              Em  D

  aku menunggumu..

              Em  D

  aku menunggumu..

Int. Em..D..Em..D..

Strum once:

C

dalam hati ku menunggu

G/B

dalam hati ku menunggu

Em   Em

aku..

C

dalam lelah ku menunggu

G/B

dalam hati ku menunggu

Em    Em-Bm-C-D

aku.. masih menunggu

Reff III:

 C            G             C

  bila rindu ini masih milikmu

                 G                 C

  kuhadirkan sebuah harus berapa lama

                 G              C

  harus berapa lama aku menunggumu

              G            C  G

  aku menunggumu aku menunggu....aku menunggumu..

C

dalam hati ku menunggu

G

dalam lelah ku menunggu

C

dalam hati ku menunggu

G

dalam lelah ku menunggu

Am                    C-G-Em

dalam hati ku menunggu..

Catatan:

Warna Hitam     = Ariel

Warna Biru muda = Alm. Chrisye","Em, D, C, G, G/B, Bm, Am","{'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G/B': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Yang Terdalam,NOAH,https://www.chordtela.com/2014/11/yang-terdalam-peterpan.html,chordtela,,B major,0.84,,,,,,"--------------

Intro : B E F# B

  B                     E
Kulepas semua yang ku inginkan
    F#         B
Tak akan kuulangi
  B                   E
Maafkan jika kau kusayangi
    F#           B  F#
Dan bila ku menanti

   B                     E
Benarkah engkau coba mengerti
  F#             B
Lihatkah ku di sini
    B                  E
Mungkinkah jika aku bermimpi
   F#             B
Salahkah tuk menanti

Musik : B A G F# (2x)

Reff :
           B          E
  Takkan lelah aku menanti
            F#          B
  Takkan hilang cintaku ini
           B              E
  Hingga saat kau tak kembali
             F#          B
  Kan ku pendam di hati saja

Musik : B A G F# (4x)
        B E F# B

B         E
Kau telah tinggalkan
  F#            B
Hati yang terdalam
    B         E
Hingga tiada cinta
        F#        B
Yang tersisa di jiwa","B, E, F#, A, G","{'B': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'E': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'F#': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'A': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'G': {'roman': 'bVI', 'function': 'SD', 'diatonic': False}}"
Mungkin Nanti,NOAH,https://www.chordtela.com/2014/11/mungkin-nanti-peterpan.html,chordtela,,C major,1.0,,,,,,"Intro : C

C             Em

Saatnya ku berkata

F                       C

Mungkin yang terakhir kalinya

C                 Em

Sudahlah lepaskan semua

F                  C

Ku yakin inilah waktunya

(*) 

G                        F

Mungkin saja kau bukan yang dulu lagi

G                  F

Mungkin saja rasa itu telah pergi

Reff:

                       C

     Dan mungkin bila nanti

                      Em

     Kita kan bertemu lagi

                     F

     Satu pintaku jangan

           G                 C

     Kau coba tanyakan kembali

                         Em

     Rasa yang kutinggal mati

                    F                   G

     Seperti hari kemarin saat semua di sini

Musik : C Em F C

C                    Em

Dan bila hatimu tak mau

F                    C

Menghindari mimpi-mimpiku

C                   Em

Membuka hatimu yang dulu

F                C

Cerita saat bersamaku

Kembali ke: (*), Reff

Interlude: C Em F G

Kembali ke: Reff

                      C

Tak usah kau tanyakan lagi

                  Em

Simpan untukmu sendiri

                     F

Semua sesal yang kau cari

                     G

Semua rasa yang kau beri

Outro: C Em F G C","C, Em, F, G","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
Bintang di Surga,NOAH,https://www.chordtela.com/2014/12/peterpan-bintang-di-surga.html,chordtela,,G major,1.0,,,,,,"Intro : Em C G Bm….(2x)

 Em
masih ku merasa angkuh
 C
terbangkan anganku jauh
 G
langit kan menangkapku
 Bm
walau kan terjatuh ….

 Em
dan bila semua tercipta
 C
hanya untuk ku merasakan
G
semua yang tercipta
 Bm
hampa hidup terasa ….

Interlude : Em C G Bm

*)
  Em
 lelah tetapku mencari
  C
 arti untukku membagi
  G
 menemani langkahku
   Bm
 namun tak berarti….

  Em
 dan bila semua tercipta
  C
 tanpa harus ku merasakan
  G
 cinta yang tersisa
  Bm
 hampa hidup terasa….

Reff:
                      C
   bagai bintang di surga
                 G
   dan seluruh warna
                   Bm
   dan kasih yang setia
                D
   dan cahaya nya..ta….

                   C
   oh bintang di surga
              G
   berikan cerita
                   Bm
   dan kasih yang setia
              D
   dan cahaya nyata..

Musik : Em C G Bm ….Em

Kembali ke : *), Reff

Musik : Em C G D
        C G Bm D

              C     G Bm D
oh bintang di surga..

Outro : C G Bm D (2x)
        ha ha ha ha ha..
        Em C G Bm….Em","Em, C, G, Bm, D","{'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Bm': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
Kisah Cintaku,NOAH,https://www.chordtela.com/2014/12/kisah-cintaku-peterpan.html,chordtela,,C major,1.0,,,,,,"Intro : C Am Em G….[2x]

*)

 C             G        Am

 Di Malam yang sesunyi ini….

 Em       F

 Aku Sendiri….

       C         Dm ….G

 Tiada yang menemani….

 F          G         Em

 Akhirnya kini ku Sadari

   Am         Dm

 Dia telah Pergi….ii

            F     G

 Tinggalkan di….riku

**)

 C          G          Am

 Adakah semua kan terulang

 Em         F

 Kisah Cintaku

      C         Dm….G

 Yang seperti dulu….

 F         G            Em         Am

 Hanya dirimu yang Kucinta dan Kukenang

            Dm

 Di dalam Hatiku….uu

               C

 Takkan pernah hilang

            Dm

 Bayangan dirimu….

             G

 Untuk selamanya….….

Reff:

           C    G

   Mengapa terjadi

          Am  Em

   Kepada dirimu

           F

   Aku tak percaya

       Dm       G

   Kau telah tiada….

            C     G

   Haruskah Ku pergi

              Am  Em

   Tinggalkan dunia

         F           Dm    G   C   ….G

   Agar Aku dapat berjumpa denganmu….….

Kembali ke : *). **), Reff

Interlude : C G Am Em

            F Dm G

            C    G

Ooh Mengapa Terjadi

       Am  Em

Kepada dirimu

        F

Aku tak Percaya

    Dm       G

Kau telah tiadaaa...

Kembali ke : Reff","C, Am, Em, G, F, Dm","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Walau Habis Terang,NOAH,https://www.chordtela.com/2014/10/peterpan-walau-habis-terang.html,chordtela,,D major,1.0,,,,,,"--------------

Intro : D A Bm G [2x]

Bm       F#m   
ku.. terbiasa.. 
G            D
tersenyum tenang
      Bm    F#m  
walau a a a aah.. 
G         D
hatiku menangis

Bm       F#m    
kaulah cerita.. 
G           D
tertulis dengan pasti
Bm    F#m   
selamanya.. 
G          A
dalam pikiranku..

Int. D A Bm G [2x]
     u u uh.. selamanya..

Bm      F#m     
peluk tubuhku.. 
G         D
untuk sejenak
      Bm      F#m
dan biarkan kita.. 
  G         D
memudar dengan pasti..

Bm      F#m     
biarkan semua.. 
G         D
seperti seharusnya
Bm        F#m   
takkan pernah.. 
G          A
menjadi milikku..

#)
G       A
lupakan semua..
    G       A
tinggalkan ini..
G         A
Ku kan tenang..
     G         A
dan kau kan pergi..

Reff :
  D       A
  berjalanlah..
        Bm      G
  walau habis terang
        D       A
  ambil cahaya cinta
     Bm      G
  ku terangi jalanmu..

  D      A
  di antara..
      Bm     G
  beribu lainnya
         D           A
  kau tetap.. kau tetap..
        Bm          G
  kau tetap.. benderang..

Int. D A Bm G [2x]
     a a a a ah..

#)
G       A
lupakan semua..
    G       A
tinggalkan ini..
G         A
Ku kan tenang..
     G         A
dan kau kan pergi..

Reff :
  D       A
  berjalanlah..
        Bm      G
  walau habis terang
        D       A
  ambil cahaya cinta
     Bm      G
  ku terangi jalanmu..

  D      A
  di antara..
      Bm     G
  beribu lainnya
         D           A
  kau tetap.. kau tetap..
        Bm          G
  kau tetap.. benderang..

Outro : D A Bm G D
            woo ooh..","D, A, Bm, G, F#m","{'D': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Bm': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'F#m': {'roman': 'iii', 'function': 'T', 'diatonic': True}}"
Hidup Untukmu Mati Tanpamu,NOAH,https://www.chordtela.com/2014/10/noah-hidup-untukmu-mati-tanpamu.html,chordtela,,C major,1.0,,,,,,"Intro : C F

        C G Am F C

C

Begitu banyak hal 

         F              G

yang ku alami yang ku temui

C

Saat bersamamu 

        F              G

ku rasa senang ku rasa sedih

Am        G          F

Air mata ini menyadarkanku

Am             G         F

Kau takkan pernah jadi milikku

Int. C F G

Am        G          F

Air mata ini menyadarkanku

Am                   G      F

Kau takkan pernah menjadi milikku

Reff

     C                      G

     Tak pernah ku mengerti aku segila ini

     Am                F

     Aku hidup untukmu aku mati tanpamu

     C                    G

     Tak pernah ku sadari aku sebodoh ini

     Am                F

     Aku hidup untukmu aku mati tanpamu

Int. Dm F G C

     F G C

     F G

 

Am        G          F

Air mata ini menyadarkanku

Am                   G      F

Kau takkan pernah menjadi milikku

Reff

     C                      G

     Tak pernah ku mengerti aku segila ini

     Am                F

     Aku hidup untukmu aku mati tanpamu

     C                    G

     Tak pernah ku sadari aku sebodoh ini

     Am                F

     Aku hidup untukmu aku mati tanpamu

Outro : C G Am F 4x C","C, F, G, Am, Dm","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Tak Lagi Sama,NOAH,https://www.chordtela.com/2014/10/noah-tak-lagi-sama.html,chordtela,,C major,0.9,,,,,,"Intro: F Em 6x

    F

Cerita ini tak lagi sama

      Em

Meski hatimu selalu di sini

      F

Mengertilah bahwa ku tak berubah

      Em                  Am

Lihat aku dari sisi yang lain

   F          G      Am       D

Bersandar padaku, rasakan hatiku

   Dm            G

Bersandar padaku ooh

Reff :

      C          G         Am

      Dan diriku bukanlah aku 

                 Dm         F

      tanpa kamu tuk memelukku

                       Dm          G    Am

      Kau melengkapiku kau sempurnakan aku

      F

Waktu yang telah kita lalui

    Em

Buatmu jadi lebih berarti

     F

Luluhkan kerasnya dinding hati

      Em                Am

Engkaulah satu yang aku cari

   F          G     Am        D

Bersandar padaku, rasakan hatiku

   Dm            G

Bersandar padaku ooh

Reff 2

      C          G         Am

      Dan diriku bukanlah aku 

                 G

      tanpa kamu tuk memelukku

      F                Dm          G    Am

      Kau melengkapiku kau sempurnakan aku

      C          G         Am

      Dan diriku bukanlah aku 

                 G

      tanpa kamu menemaniku

      F              C

      Kau menenangkanku

      Dm       G

      kau melegakan aku

Int: F  G

     Am G Dm G

Kembali ke Reff 2

Outro : C G Am G F C Dm G 2x C","F, Em, Am, G, D, Dm, C","{'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'D': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Wanitaku,NOAH,https://www.chordtela.com/2019/08/wanitaku-noah.html,chordtela,,G major,0.843,,,,,,"Intro : G.. G..

♫

G         D

….kau lakukan

              Em

yang kau inginkan

            C

kau tutup matamu

              G

dan kau berjalan

         D

ku terbangun

         Em

dari lamunan

              C

dan ku tenggelam

          (G)

dalam mimpimu

♬)

G            D         Em

….tak pernah habis dunia

          C          G

sampai ke ujung batasnya

          D          

takkan berhenti hingga

Em        C

hatimu membeku..

♯)

Am     G          F

..kembali…. berputar arah

           Am

pulang padaku..

     G          D

kembalilah..ada ku..

yang bisa memelukmu..

Reff:

  G              D        Em

  apa yang kau cari wanitaku

                 C

  apa yang kau cari..

  G            D        Em

  tempatmu disini pujaanku

               C

  tempatmu disini ii..

  G             D        Em

  tak perlukan itu wanitaku

                C

  tak perlu begitu uu..

  G            D         Em

  tetaplah disini bersamaku

               C

  tetaplah disini..

Musik: G..D..Em..C..

       G..D..Em..C..

♬)

G            D         Em

..tak pernah habis dunia

          C          G

sampai ke ujung batasnya

          D          

takkan berhenti hingga

Em        C

hatimu membeku..

♯♯)

Am     G          F

..kembali…. berputar arah

           Am

pulang padaku..

     G          D

kembalilah..ada a..ku

yang bisa memelukmu..

Reff:

  G              D        Em

  apa yang kau cari wanitaku

                 C

  apa yang kau cari..

  G            D        Em

  tempatmu disini pujaanku

               C

  tempatmu disini ii..

  G             D        Em

  tak perlukan itu wanitaku

                C

  tak perlu begitu u..

  G            D         Em

  tetaplah disini bersamaku

               C

  tetaplah disini.. yee..

Musik: G..C..Em D C..

       G..C..Em D C..

Reff:

  G              D        Em

  apa yang kau cari wanitaku

                 C

  apa yang kau cari..

  G            D        Em

  tempatmu disini pujaanku

               C

  tempatmu disini ii..

  G             D        Em

  tak perlukan itu wanitaku

                C

  tak perlu begitu..

  G            D         Em

  tetaplah disini bersamaku

               C

  tetaplah disini..u uuu..

Outro: G..C..Em D C..

       G..

              

Catatan:

Chord NOAH - Wanitaku dari G ini capo di fret 4

Original chord dari B,

Silahkan pakai transpose panah naik diatas.","G, D, Em, C, Am, F, B","{'G': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Em': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Am': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'F': {'roman': 'bVII', 'function': 'SD', 'diatonic': False}, 'B': {'roman': '[iii]', 'function': 'T', 'diatonic': False}}"
Jika Engkau,NOAH,https://www.chordtela.com/2014/10/noah-jika-engkau.html,chordtela,,C major,1.0,,,,,,"Intro : C Em C Em

C

Apa yang telah terjadi 

              Em

yang telah membuat kau tak mengerti

C

Maaf ku tak sadari 

          Em

hingga membuat kau ingin pergi

Int. C Em

C

Saat ku tak bicara

        Em

berjuta kata yang ku ungkapkan

C

Walau kau tak merasa

           Em

cinta yang ada begitu nyata

    Am                    G

Ku ingin engkau tahu berartinya dirimu

         Am                  G

Ku tak inginkan kau ragu aku kan bertahan dalam hidupmu

Reff

            C

    Jika engkau pergi hilang dariku

             Em

    Meninggalkan mimpi dalam tidurku

          Dm           G

    bersamamu dan tanpamu

Int. C Am Em

     C Am Em G

    Am                   G

Ku ingin engkau tahu berartinya dirimu

        Am                 G

Ku tak inginkan kau ragu aku kan bertahan dalam hidupmu

Reff

            C

    Jika engkau pergi hilang dariku

             Em

    Meninggalkan mimpi dalam tidurku

           Dm           G

    bersamamu dan tanpamu

            C

    Jika engkau pergi hilang dariku

              Em

    Meninggalkan mimpi dalam tidurku

           Dm          G

    bersamamu dan tanpamu

Outro : C Em Dm G C","C, Em, Am, G, Dm","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
